Manufacturer Part Number*,Product Description*,Type,Current - DC Forward (If) (Max),Radiant Intensity (Ie) Min @ If,Wavelength,Voltage - Forward (Vf) (Typ),Viewing Angle,Orientation,Operating Temperature,Mounting Type,Package / Case,RoHS Compliance,REACH Compliance,HTS Code,ECCN,Moisture Sensitivity Level,Datasheet URL*,Image Attachment URL*
LT9C83-43-940,5.0 mm ROUND IR LED LAMP,Infrared (IR),50mA ,55.0 mW/sr @20mA,940nm,1.25V,15°,Through Hole, - 25°C ~ 85°C (TA),Through Hole,"2-SMD, No Lead",ROHS3 Compliant,REACH Unaffected,8541.41.0000,,2,,
LT0383-43-850-CHW,3.0 mm ROUND IR LED LAMP,Infrared (IR),50mA ,18.0mW/sr @20mA,850nm,1.45V,30°,Through Hole, - 25°C ~ 85°C (TA),Through Hole,"2-SMD, No Lead",ROHS3 Compliant,REACH Unaffected,8541.41.0000,,2,,
LT1885-81-940-TAF,5.0 mm ROUND IR LED LAMP,Infrared (IR),50mA ,15.0 mW/sr @20mA,940nm,1.25V,20°,Through Hole, - 25°C ~ 85°C (TA),Through Hole,"2-SMD, No Lead",ROHS3 Compliant,REACH Unaffected,8541.41.0000,,2,,
LT1885-81-850-P18TAA,5.0 mm ROUND IR LED LAMP,Infrared (IR),50mA ,15.0mW/sr @20mA,850nm,1.45V,30°,Through Hole, - 25°C ~ 85°C (TA),Through Hole,"2-SMD, No Lead",ROHS3 Compliant,REACH Unaffected,8541.41.0000,,2,,
